# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","surface temperature [K]","thaw depth [m]","water table depth [m]"
0.000000000000e+00,1.054112657268e+06,1.711348345985e+05,1.941155875154e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.546159643297e+04,1.000000000000e+00,0.000000000000e+00,2.665500025028e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+00,1.054112657268e+06,1.711348345985e+05,1.959928099357e+03,1.542021028016e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546155049770e+04,1.000000000000e+00,0.000000000000e+00,2.665459013718e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+00,1.054112657268e+06,1.711348345985e+05,1.977584239737e+03,1.743043352777e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546147222186e+04,1.000000000000e+00,0.000000000000e+00,2.665389182909e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+00,1.054112657268e+06,1.711348345985e+05,1.994597554065e+03,1.858710757748e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546135867501e+04,1.000000000000e+00,0.000000000000e+00,2.665288007876e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+00,1.054112657268e+06,1.711348345985e+05,2.010509602920e+03,2.057038751500e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546121079882e+04,1.000000000000e+00,0.000000000000e+00,2.665156458725e+02,0.000000000000e+00,4.000000000000e+01
5.000000000000e+00,1.054112657268e+06,1.711348345985e+05,2.023607394865e+03,2.564341470226e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546104558476e+04,1.000000000000e+00,0.000000000000e+00,2.665009771983e+02,0.000000000000e+00,4.000000000000e+01
6.000000000000e+00,1.054112657268e+06,1.711348345985e+05,2.034082595116e+03,3.037165627204e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546087267551e+04,1.000000000000e+00,0.000000000000e+00,2.664856574511e+02,0.000000000000e+00,4.000000000000e+01
7.000000000000e+00,1.054112657268e+06,1.711348345985e+05,2.041625608691e+03,3.565691272494e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546068235132e+04,1.000000000000e+00,0.000000000000e+00,2.664688325371e+02,0.000000000000e+00,4.000000000000e+01
8.000000000000e+00,1.054112657268e+06,1.711348345985e+05,2.045706184645e+03,4.189958347657e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546048409720e+04,1.000000000000e+00,0.000000000000e+00,2.664513484637e+02,0.000000000000e+00,4.000000000000e+01
9.000000000000e+00,1.054112657268e+06,1.711348345985e+05,2.047381681328e+03,4.623605275324e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546028415532e+04,1.000000000000e+00,0.000000000000e+00,2.664337585256e+02,0.000000000000e+00,4.000000000000e+01
