# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","surface temperature [K]","thaw depth [m]","water table depth [m]"
0.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.214317918320e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.542424784049e+04,2.688002413326e+05,0.000000000000e+00,2.638297370594e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.310999546285e+08,-1.467689880794e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.543899366778e+04,2.688002413326e+05,0.000000000000e+00,2.648215750921e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.406980495806e+08,-1.486989923576e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544308578372e+04,2.688002413326e+05,0.000000000000e+00,2.651189203041e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.501608362840e+08,-1.409172640994e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544507398336e+04,2.688002413326e+05,0.000000000000e+00,2.652675010111e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.594124978395e+08,-1.273133928800e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544617446324e+04,2.688002413326e+05,0.000000000000e+00,2.653510151674e+02,0.000000000000e+00,4.000000000000e+01
5.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.682620449663e+08,-1.004634427929e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544705401670e+04,2.688002413326e+05,0.000000000000e+00,2.654184076679e+02,0.000000000000e+00,4.000000000000e+01
6.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.767044723512e+08,-7.321610501061e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544780911647e+04,2.688002413326e+05,0.000000000000e+00,2.654767143661e+02,0.000000000000e+00,4.000000000000e+01
7.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.847025704981e+08,-4.367867347128e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544815077528e+04,2.688002413326e+05,0.000000000000e+00,2.655032768643e+02,0.000000000000e+00,4.000000000000e+01
8.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.921652568843e+08,-7.766712633795e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544847239485e+04,2.688002413326e+05,0.000000000000e+00,2.655283373508e+02,0.000000000000e+00,4.000000000000e+01
9.000000000000e+00,2.764756143036e+11,0.000000000000e+00,5.992084432377e+08,2.042188252175e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544884533265e+04,2.688002413326e+05,0.000000000000e+00,2.655574604675e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+01,2.764756143036e+11,0.000000000000e+00,6.058255418913e+08,4.898949636461e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544918267723e+04,2.688002413326e+05,0.000000000000e+00,2.655838811330e+02,0.000000000000e+00,4.000000000000e+01
1.100000000000e+01,2.764756143036e+11,0.000000000000e+00,6.125425151531e+08,4.152085248110e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544848980429e+04,2.688002413326e+05,0.000000000000e+00,2.655297604965e+02,0.000000000000e+00,4.000000000000e+01
1.200000000000e+01,2.764756143036e+11,0.000000000000e+00,6.198994853550e+08,-2.389146942334e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544650626769e+04,2.688002413326e+05,0.000000000000e+00,2.653768371944e+02,0.000000000000e+00,4.000000000000e+01
1.300000000000e+01,2.764756143036e+11,0.000000000000e+00,6.278172520482e+08,-4.103736363934e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544322730689e+04,2.688002413326e+05,0.000000000000e+00,2.651303224086e+02,0.000000000000e+00,4.000000000000e+01
1.400000000000e+01,2.764756143036e+11,0.000000000000e+00,6.360725043304e+08,-6.387239448708e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.543978554484e+04,2.688002413326e+05,0.000000000000e+00,2.648793968354e+02,0.000000000000e+00,4.000000000000e+01
1.500000000000e+01,2.764756143036e+11,0.000000000000e+00,6.446576177316e+08,-8.597043541676e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.543648149949e+04,2.688002413326e+05,0.000000000000e+00,2.646454785818e+02,0.000000000000e+00,4.000000000000e+01
