# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","tcc last column tracer1","tcc last column tracer2","surface temperature [K]","thaw depth [m]","water table depth [m]"
0.000000000000e+00,2.802960609043e+11,6.341719674999e+07,2.981751681244e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.546408117906e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.669572476447e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+00,2.802960559528e+11,6.342214816801e+07,3.082255567058e+08,-1.408517933740e-04,4.410032905942e+00,0.000000000000e+00,5.297892247140e-04,5.547343415604e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.679256107464e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+00,2.802960509196e+11,6.342718145029e+07,3.159474817632e+08,-1.432674899399e-04,1.429952188658e+00,0.000000000000e+00,3.738148129999e-04,5.547546665394e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.681562507086e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+00,2.802960458658e+11,6.343223516764e+07,3.187670054902e+08,-1.327444712769e-04,5.831180936690e-01,0.000000000000e+00,5.619645677219e-05,5.547582748630e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.681951531296e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+00,2.802960409672e+11,6.343713382676e+07,3.211300277681e+08,-1.158596774524e-04,1.594796206518e-01,0.000000000000e+00,4.278367615318e-05,5.547537081948e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.681374336394e+02,0.000000000000e+00,4.000000000000e+01
5.000000000000e+00,2.802960362712e+11,6.344182982449e+07,3.225602746497e+08,-8.619874613973e-05,-3.942133681280e-02,0.000000000000e+00,1.000000000000e-05,5.547464221805e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.680477769214e+02,0.000000000000e+00,4.000000000000e+01
6.000000000000e+00,2.802960317648e+11,6.344633621383e+07,3.411974199440e+08,-5.698066119826e-05,-2.091357022229e-03,0.000000000000e+00,1.193063917402e-03,5.547415415954e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.679858921444e+02,0.000000000000e+00,4.000000000000e+01
7.000000000000e+00,2.802960274621e+11,6.345063889707e+07,3.527130988119e+08,-2.903604178022e-05,-2.567919742326e-02,0.000000000000e+00,7.434755682318e-04,5.547358993501e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.679169033610e+02,0.000000000000e+00,4.000000000000e+01
8.000000000000e+00,2.802960233811e+11,6.345471986951e+07,3.659333498974e+08,5.540302666644e-06,-7.036050528247e-02,0.000000000000e+00,8.923965267717e-04,5.547299475866e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.678452831753e+02,0.000000000000e+00,4.000000000000e+01
9.000000000000e+00,2.802960195326e+11,6.345856842594e+07,3.731744106334e+08,3.540267446851e-05,-9.006365939404e-02,0.000000000000e+00,5.212623222962e-04,5.547245175746e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.677801634839e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+01,2.802960159248e+11,6.346217618537e+07,3.864175042451e+08,6.378013966061e-05,-1.175133996502e-01,0.000000000000e+00,9.521491870253e-04,5.547196792384e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.677222870811e+02,0.000000000000e+00,4.000000000000e+01
1.100000000000e+01,2.802960125683e+11,6.346553266228e+07,3.942557424847e+08,6.341259361322e-05,-3.069304677298e-01,0.000000000000e+00,5.895565676355e-04,5.547098087055e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.676133652797e+02,0.000000000000e+00,4.000000000000e+01
1.200000000000e+01,2.802960094734e+11,6.346862765674e+07,3.942579432404e+08,3.006395512614e-05,-6.828976166721e-01,0.000000000000e+00,3.114855138679e-05,5.546901770311e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.674076092371e+02,0.000000000000e+00,4.000000000000e+01
1.300000000000e+01,2.802960066891e+11,6.347141193036e+07,3.943787287843e+08,-9.508471427316e-06,-1.029562999802e+00,0.000000000000e+00,0.000000000000e+00,5.546606900683e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.671130646417e+02,0.000000000000e+00,4.000000000000e+01
