# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","tcc last column tracer1","tcc last column tracer2","surface temperature [K]","thaw depth [m]","water table depth [m]"
0.000000000000e+00,2.817999103320e+11,2.552296385927e+07,2.981440285076e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.545828884482e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.663358572340e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.077628620258e+08,-1.491577734530e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546738546553e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.671716806691e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.172165436772e+08,-1.403152482763e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547011172333e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.674435179153e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.264994899053e+08,-1.294544149168e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547118725949e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.675539608943e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.354798646214e+08,-1.094323237159e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547153812834e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.675904079777e+02,0.000000000000e+00,4.000000000000e+01
5.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.439614669542e+08,-7.605461677334e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547169616643e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.676068671023e+02,0.000000000000e+00,4.000000000000e+01
6.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.520573063392e+08,-5.023828110511e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547171748794e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.676090542045e+02,0.000000000000e+00,4.000000000000e+01
7.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.598122828475e+08,-2.748675913196e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547148837090e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.675851355135e+02,0.000000000000e+00,4.000000000000e+01
8.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.670342611094e+08,8.238870734374e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547122278126e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.675575090999e+02,0.000000000000e+00,4.000000000000e+01
9.000000000000e+00,2.817999103320e+11,2.552296385927e+07,3.737945832171e+08,3.919783262119e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.547096159461e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.675304394786e+02,0.000000000000e+00,4.000000000000e+01
