# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","tcc last column tracer1","tcc last column tracer2","surface temperature [K]","thaw depth [m]","water table depth [m]"
0.000000000000e+00,2.761565836078e+11,2.552296385927e+07,2.981440285076e+08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.545828884482e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.663358572340e+02,0.000000000000e+00,4.000000000000e+01
1.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.077538716205e+08,-1.493749375261e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546518162260e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.669599005735e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.172079489612e+08,-1.409987239982e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546626073050e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.670628712495e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.265002865523e+08,-1.307949754158e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546564561009e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.670039899713e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.355024045454e+08,-1.116035437642e-04,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546438773850e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.668851037538e+02,0.000000000000e+00,4.000000000000e+01
5.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.440209089413e+08,-7.912423163307e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546329318463e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.667832205493e+02,0.000000000000e+00,4.000000000000e+01
6.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.521681235253e+08,-5.419376978944e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546231144430e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.666930401035e+02,0.000000000000e+00,4.000000000000e+01
7.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.598756046818e+08,-2.484555789490e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546103364849e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.665774253568e+02,0.000000000000e+00,4.000000000000e+01
8.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.670366200299e+08,1.188580919348e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545997738310e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.664832069873e+02,0.000000000000e+00,4.000000000000e+01
9.000000000000e+00,2.761565836078e+11,2.552296385927e+07,3.738158182415e+08,3.758195254191e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545914630297e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.664098882608e+02,0.000000000000e+00,4.000000000000e+01
